crn,status,course_code,section,title,credits,type,hybrid,online,instructor,start_date,end_date,days,start_time,end_time,building,room,section_info,program_code
21188,Open,AFRI 3100,A,African Studies Abroad: Sel Top,.5,Seminar,No,Yes,,"Jun 15, 2025","Jun 30, 2025",Time: Building: Room:,,,Room:,,,AFRI
20796,Open,AFRI 3900,A,Placement,.5,Field Placement,No,No,,"May 05, 2025","Jun 17, 2025",Time: Building: Room:,,,Room:,,,AFRI
21189,Open,AFRI 3900,B,Placement,.5,Field Placement,No,No,,"Jul 02, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,AFRI
21190,Open,AFRI 5100,A,African Studies Abroad,.5,Seminar,No,No,,"Jun 15, 2025","Jun 30, 2025",Time: Building: Room:,,,Room:,,,AFRI
20797,Open,AFRI 5700,A,Dir Reading in African Studies,.5,Directed Studies,No,No,,"May 05, 2025","Jun 17, 2025",Time: Building: Room:,,,Room:,,,AFRI
20798,Open,AFRI 5900,A,Placement,.5,Field Placement,No,No,,"May 05, 2025","Jun 17, 2025",Time: Building: Room:,,,Room:,,,AFRI
21191,Open,AFRI 5900,B,Placement,.5,Field Placement,No,No,,"Jul 02, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,AFRI
