crn,status,course_code,section,title,credits,type,hybrid,online,instructor,start_date,end_date,days,start_time,end_time,building,room,section_info,program_code
20460,Open,IDES 5000,R,Directed Studies,.5,Directed Studies,No,Yes,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,IDES
21036,Open,IDES 5000,S,Directed Studies,.5,Directed Studies,No,Yes,,"May 05, 2025","Jun 17, 2025",Time: Building: Room:,,,Room:,,,IDES
21332,Open,IDES 5000,T,Directed Studies,.5,Directed Studies,No,No,,"Jul 02, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,IDES
21037,Open,IDES 5500,B,Special Topi in Industri Desig,.5,Seminar,No,Yes,,"May 05, 2025","Jun 17, 2025",Mon Wed,13:05,15:55,Mackenzie Building,3490,,IDES
20461,Open,IDES 5909,S,Thesis,0,Masters Thesis,No,No,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,IDES
