crn,status,course_code,section,title,credits,type,hybrid,online,instructor,start_date,end_date,days,start_time,end_time,building,room,section_info,program_code
20775,Open,WGST 1808,A,Intro Feminist Transformation,1,Lecture,No,No,,"May 05, 2025","Aug 14, 2025",Mon Wed,18:05,20:55,ON,LINE,,WGST
21431,Open,WGST 2801,A,Activism Feminisms & Soci Justic,.5,Lecture,No,Yes,,"Jul 02, 2025","Aug 14, 2025",Tue Thu,18:05,20:55,ON,LINE,,WGST
21432,Open,WGST 4003,A,Traversing Feminisms,.5,Seminar,No,No,,"Jul 02, 2025","Aug 14, 2025",Time: Building: ON Room: LINE,,,ON,LINE,,WGST
21433,Open,WGST 5003,A,Traversing Feminisms,.5,Seminar,No,No,,"Jul 02, 2025","Aug 14, 2025",Time: Building: ON Room: LINE,,,ON,LINE,,WGST
20776,Open,WGST 5908,S,Research Essay,1,Research Essay,No,Yes,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,WGST
20777,Open,WGST 5909,S,MA Thesis,0,Masters Thesis,No,Yes,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,WGST
21177,Open,WGST 5910,S,Directed Studies,.5,Directed Studies,No,Yes,,"May 05, 2025","Jun 17, 2025",Time: Building: Room:,,,Room:,,,WGST
21434,Open,WGST 5911,S,Directed Studies,.5,Directed Studies,No,No,,"Jul 02, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,WGST
