crn,status,course_code,section,title,credits,type,hybrid,online,instructor,start_date,end_date,days,start_time,end_time,building,room,section_info,program_code
20990,Open,EURR 4201,S,Special Topics in European St.,.5,Seminar,No,Yes,,"May 05, 2025","Jun 17, 2025",Tue Thu,18:05,20:55,Richcraft Hall,3112,,EURR
20360,Open,EURR 4302,A,EU Summer Study Abroad,.5,Other,No,No,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,EURR
20363,Open,EURR 4908,A,Honours Essay,1,Research Essay,No,No,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,EURR
21304,Open,EURR 5108,S,Cda-EU Relations: Summer Module,.5,Seminar,No,Yes,,"Aug 05, 2025","Aug 08, 2025",Tue Wed Thu Fri,10:05,14:55,Richcraft Hall,3202,,EURR
20991,Open,EURR 5201,S,Special Topics in European St.,.5,Seminar,No,Yes,,"May 05, 2025","Jun 17, 2025",Tue Thu,18:05,20:55,Richcraft Hall,3112,,EURR
20364,Open,EURR 5302,S,EU Summer Study Abroad,.5,Other,No,No,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,EURR
20368,Open,EURR 5908,S,Research Essay,1,Research Essay,No,Yes,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,EURR
20369,Open,EURR 5909,S,M.A. Thesis,0,Masters Thesis,No,Yes,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,EURR
